entry_date,exit_date,direction,entry_price,exit_price,position_size,holding_bars,entry_equity,exit_equity,pnl_amount,return_pct,exit_reason
2023-03-17,2023-04-03,short,498.5,569.7,0.2722,11,1251770.58,1205004.24,-46766.34,-0.03736,hard_stop
2023-04-04,2023-04-07,short,583.4,592.0,0.3217,2,1204810.42,1198682.57,-6127.85,-0.005086,reverse_signal
2023-04-07,2023-04-21,long,592.0,554.2,0.3855,10,1198682.57,1168656.99,-30025.58,-0.025049,hard_stop
2023-04-24,2023-04-27,long,553.9,526.1,0.4524,3,1168392.63,1141828.31,-26564.32,-0.022736,hard_stop
2023-04-28,2023-05-04,long,531.7,496.9,0.3658,1,1141619.47,1114084.13,-27535.35,-0.02412,hard_stop
2023-05-05,2023-05-22,short,495.1,507.0,0.2917,11,1113921.63,1104787.33,-9134.29,-0.0082,hard_stop
2023-05-23,2023-06-19,short,515.5,529.9,0.2805,19,1104632.39,1094156.72,-10475.67,-0.009483,reverse_signal
2023-06-19,2023-09-26,long,529.9,682.3,0.3309,69,1094156.72,1191630.09,97473.37,0.089085,trailing_stop
2023-09-27,2023-10-09,long,701.3,656.8,0.3288,2,1191434.18,1166878.43,-24555.76,-0.02061,hard_stop
2023-10-10,2023-10-19,long,657.2,683.4,0.2614,7,1166725.92,1178616.33,11890.4,0.010191,reverse_signal
2023-10-19,2023-12-27,short,683.4,574.8,0.3265,49,1178616.33,1241130.56,62514.23,0.05304,trailing_stop
2023-12-28,2024-01-22,short,564.3,559.9,0.346,16,1240915.81,1241544.05,628.24,0.000506,reverse_signal
2024-01-22,2024-02-05,long,559.9,556.1,0.3269,10,1241544.05,1238935.38,-2608.67,-0.002101,trailing_stop
2024-02-06,2024-05-06,long,559.5,619.4,0.4271,53,1238670.81,1295163.53,56492.72,0.045608,trailing_stop
2024-05-07,2024-05-08,long,617.8,611.3,0.3717,1,1294922.83,1289369.53,-5553.29,-0.004289,reverse_signal
2024-05-08,2024-06-13,short,611.3,604.5,0.3871,25,1289369.53,1293085.99,3716.46,0.002882,trailing_stop
2024-06-14,2024-06-26,short,602.8,620.3,0.5032,8,1292760.63,1273351.85,-19408.78,-0.015013,reverse_signal
2024-06-26,2024-07-17,long,620.3,606.5,0.5989,15,1273351.85,1256162.43,-17189.42,-0.013499,trailing_stop
2024-07-18,2024-07-22,long,618.6,597.4,0.6213,2,1255772.23,1228573.71,-27198.52,-0.021659,hard_stop
2024-07-23,2024-07-24,long,593.1,588.7,0.5618,1,1228228.6,1222424.08,-5804.52,-0.004726,reverse_signal
2024-07-24,2024-10-08,short,588.7,580.1,0.5591,47,1222424.08,1220514.62,-1909.46,-0.001562,trailing_stop
2024-10-09,2024-10-11,short,551.6,570.4,0.3073,2,1220327.09,1207275.36,-13051.72,-0.010695,reverse_signal
2024-10-11,2024-10-17,long,570.4,534.0,0.3255,4,1207275.36,1181660.01,-25615.35,-0.021217,hard_stop
2024-10-18,2024-10-28,long,537.4,523.8,0.2676,6,1181501.94,1173287.26,-8214.68,-0.006953,reverse_signal
2024-10-28,2024-12-12,short,523.8,543.0,0.2998,33,1173287.26,1159461.1,-13826.16,-0.011784,trailing_stop
2024-12-13,2025-02-13,long,546.0,565.2,0.5523,37,1159140.91,1183384.47,24243.56,0.020915,trailing_stop
2025-02-14,2025-02-20,long,567.5,564.0,0.3739,4,1183163.25,1180029.96,-3133.29,-0.002648,reverse_signal
2025-02-20,2025-03-26,short,564.0,541.8,0.3938,24,1180029.96,1197111.48,17081.52,0.014475,trailing_stop
2025-03-27,2025-06-10,short,540.7,479.8,0.5388,48,1196788.99,1261549.45,64760.46,0.054112,trailing_stop
2025-06-11,2025-06-12,short,478.1,495.7,0.4329,1,1261276.35,1240905.57,-20370.78,-0.016151,hard_stop
2025-06-13,2025-06-25,long,529.9,508.6,0.3732,8,1240674.04,1223741.23,-16932.8,-0.013648,hard_stop
2025-06-26,2025-07-28,long,502.9,505.9,0.2122,22,1223611.4,1224975.7,1364.3,0.001115,reverse_signal
2025-07-28,2025-07-30,short,505.9,528.6,0.5174,2,1224975.7,1196686.23,-28289.47,-0.023094,hard_stop
2025-07-31,2025-08-04,long,531.3,514.3,0.5173,2,1196376.73,1176222.25,-20154.49,-0.016846,hard_stop
2025-08-05,2025-10-24,short,508.8,464.9,0.4552,52,1175954.56,1220528.47,44573.91,0.037904,trailing_stop
2025-10-27,2026-01-14,short,468.9,448.0,0.4022,55,1220283.0,1239086.06,18803.07,0.015409,trailing_stop
2026-01-15,2026-01-22,short,446.6,446.4,0.3796,5,1238850.87,1238412.67,-438.2,-0.000354,reverse_signal
