date,close,ma_fast,ma_slow,atr,signal,position,position_size,daily_return,strategy_return,equity,drawdown,action
2020-05-13,251.3,235.05,252.6125,17.964285714285715,-1,-1,0.13114058355437663,0.05411073825503365,-0.007096113791323245,1129338.0739014908,-0.0668637656488793,HOLD
2020-05-14,245.3,238.06,252.06750000000002,17.664285714285715,-1,-1,0.13114058355437663,-0.023875845602865153,0.0031310923252139337,1132874.1356772557,-0.0639420299471235,HOLD
2020-05-15,259.5,243.35,252.35,17.599999999999998,-1,-1,0.13114058355437663,0.057888300040766394,-0.00759150544831695,1124273.9155040043,-0.07104811912672049,HOLD
2020-05-18,267.6,247.66,252.87749999999997,16.214285714285715,-1,-1,0.13114058355437663,0.031213872832370093,-0.004093405498229117,1119671.8064767646,-0.07485069586347748,HOLD
2020-05-19,267.4,251.5,253.6425,16.62857142857143,-1,-1,0.13114058355437663,-0.0007473841554560545,9.801239428580193e-05,1119781.5481913316,-0.07476001976510738,HOLD
2020-05-20,268.6,253.71999999999997,254.61499999999995,15.892857142857144,-1,-1,0.13114058355437663,0.004487658937920802,-0.000588514211911948,1119122.5408359843,-0.0753045366429046,HOLD
2020-05-21,278.2,256.82000000000005,255.4475,15.892857142857142,1,1,0.17504719101123595,0.035740878629932915,-0.004840173567558358,1113706.5965361767,-0.07977955965520644,REVERSE
2020-05-22,265.7,258.53000000000003,256.01750000000004,15.807142857142855,1,1,0.17504719101123595,-0.0449317038102085,-0.007865168539325845,1104947.1064510609,-0.08701724851185089,HOLD
2020-05-25,271.7,261.37,256.4525,15.39285714285714,1,1,0.17504719101123595,0.022581859239743984,0.003952891027728308,1109314.8419542655,-0.08340832718502278,HOLD
2020-05-26,274.8,265.01,256.84000000000003,13.064285714285711,1,1,0.17504719101123595,0.011409642988590374,0.001997225955593788,1111530.394349542,-0.08157768650539554,HOLD
2020-05-27,272.8,267.16,257.33000000000004,12.599999999999996,1,1,0.17504719101123595,-0.00727802037845704,-0.0012739970233714372,1110114.3079357538,-0.08274775379898547,HOLD
2020-05-28,273.1,269.94,257.9225,11.54285714285714,1,1,0.17504719101123595,0.0010997067448681452,0.00019250057662527874,1110328.0055801515,-0.082571182212681,HOLD
2020-05-29,275.2,271.51,258.65999999999997,11.157142857142855,1,1,0.17504719101123595,0.007689491028926909,0.001346023804919754,1111822.5335069313,-0.08133630118461999,HOLD
2020-06-01,278.1,272.56000000000006,258.97999999999996,10.992857142857142,1,1,0.17504719101123595,0.010537790697674465,0.0018446106610922474,1113873.413205481,-0.07964172433182659,HOLD
2020-06-02,278.6,273.68,259.39,9.964285714285712,1,1,0.17504719101123595,0.001797914419273683,0.0003147198687724557,1114223.9712999142,-0.07935206929608452,HOLD
2020-06-03,290.6,275.88,259.43,10.12142857142857,1,1,0.17504719101123595,0.043072505384063264,0.007539721077296611,1122624.909261153,-0.07241064068818692,HOLD
2020-06-04,280.4,276.1,259.3525,9.850000000000003,1,1,0.17504719101123595,-0.03509979353062642,-0.0061441202626105074,1115727.3668088503,-0.07810986126611652,HOLD
2020-06-05,284.9,278.02000000000004,259.03249999999997,9.37857142857143,1,1,0.17504719101123595,0.016048502139800247,0.0028092452195098427,1118861.7185803344,-0.07552004580096505,HOLD
2020-06-08,295.7,280.41999999999996,259.105,9.15714285714286,1,1,0.17504719101123595,0.03790803790803787,0.006635695552549479,1126286.144310236,-0.06938547828046526,HOLD
2020-06-09,289.2,281.86,258.79499999999996,9.478571428571431,1,1,0.17504719101123595,-0.02198173824822458,-0.0038478415338959594,1121952.3737051075,-0.07296633548918441,HOLD
2020-06-10,286.3,283.21,258.7025,9.150000000000002,1,1,0.17504719101123595,-0.010027662517289038,-0.0017553141560601052,1119982.9948211177,-0.07459357080364448,HOLD
2020-06-11,281.5,284.05,258.6125,8.435714285714287,1,1,0.17504719101123595,-0.016765630457562075,-0.0029347765171286637,1116696.0950283331,-0.07730943186084993,HOLD
2020-06-12,266.0,283.13,258.2425,9.114285714285716,1,0,0.0,-0.05506216696269983,-0.009726001253317901,1105836.0494468834,-0.08628274310656603,STOP_EXIT
2020-06-15,260.6,281.38,257.89500000000004,9.850000000000003,1,1,0.2645685279187817,-0.020300751879699153,-0.00013228426395939087,1105689.7647390226,-0.08640361352136106,OPEN
2020-06-16,275.5,281.07,258.3175,10.514285714285714,1,1,0.2645685279187817,0.05717574827321559,0.015126903553299473,1122415.4271701002,-0.07258372909645583,HOLD
2020-06-17,294.6,281.46999999999997,259.34,11.764285714285714,1,1,0.2645685279187817,0.06932849364791305,0.018342137507254965,1143002.9252755186,-0.05557293232907734,HOLD
2020-06-18,295.3,282.96,260.65250000000003,11.664285714285715,1,1,0.2645685279187817,0.002376103190767198,0.0006286421233643978,1143721.4650614753,-0.05497922569189395,HOLD
2020-06-19,299.3,284.4,262.405,11.714285714285719,1,1,0.2645685279187817,0.01354554690145604,0.0035837254035730394,1147820.248730428,-0.051592530736101594,HOLD
2020-06-22,297.3,284.56,264.57250000000005,12.050000000000008,1,1,0.2645685279187817,-0.006682258603407987,-0.0017679153218762653,1145790.9997259376,-0.05326923483239521,HOLD
2020-06-23,298.6,285.50000000000006,266.35,11.47142857142858,1,1,0.2645685279187817,0.0043726875210226,0.0011568755004857762,1147116.5372621978,-0.05217398520461658,HOLD
2020-06-24,299.0,286.77000000000004,268.0475,10.81428571428572,1,1,0.2645685279187817,0.0013395847287340779,0.0003544119597036555,1147523.0890821773,-0.05183806432925486,HOLD
2020-06-29,285.7,287.19,269.81,11.435714285714292,1,1,0.2645685279187817,-0.04448160535117063,-0.011768432847223417,1134018.5406676752,-0.06299644439748953,HOLD
2020-06-30,292.4,289.83000000000004,271.955,11.121428571428575,1,1,0.2645685279187817,0.023451172558627942,0.006204442201805525,1141054.4931590236,-0.05718285999386752,HOLD
2020-07-01,293.3,293.1,273.675,10.764285714285718,1,1,0.2645685279187817,0.0030779753761971396,0.0008143354142507356,1141983.694242393,-0.05641509060759797,HOLD
2020-07-02,298.2,295.37,275.405,10.992857142857149,1,1,0.2645685279187817,0.01670644391408116,0.004419999273106142,1147031.2613408435,-0.05224444599396949,HOLD
2020-07-03,297.8,295.69,276.69,10.657142857142864,1,1,0.2645685279187817,-0.0013413816230717357,-0.00035488736139339526,1146624.1944430706,-0.052580792461776604,HOLD
2020-07-06,298.7,296.03000000000003,277.9775,9.650000000000006,1,1,0.2645685279187817,0.003022162525184502,0.0007995690904193717,1147540.9997072744,-0.05182326534775927,HOLD
2020-07-07,295.9,295.68999999999994,279.16,8.842857142857152,1,1,0.2645685279187817,-0.009373953799799217,-0.002480053157591549,1144695.0370274845,-0.054174794052488484,HOLD
2020-07-08,298.7,295.83000000000004,280.54499999999996,8.242857142857158,1,1,0.2645685279187817,0.009462656302805073,0.0025035210482345195,1147560.8051464923,-0.051806900741448225,HOLD
2020-07-09,298.9,295.86,282.0575,6.750000000000012,1,1,0.2645685279187817,0.0006695681285571187,0.00017714665411369047,1147764.091703516,-0.05163893150646093,HOLD
2020-07-10,292.1,295.16999999999996,283.0775,7.128571428571438,1,1,0.2645685279187817,-0.022750083640013186,-0.006018956138667448,1140855.749978015,-0.05734707518134341,HOLD
2020-07-13,295.5,296.15,284.3325,7.064285714285717,1,1,0.2645685279187817,0.011639849366655186,0.0030795378121323265,1144369.0583982607,-0.05444413985564722,HOLD
2020-07-14,292.3,296.14,285.1525,7.107142857142857,1,1,0.2645685279187817,-0.010829103214889946,-0.0028650398962439794,1141090.3953899227,-0.05715319511908801,HOLD
2020-07-15,294.6,296.27000000000004,285.8275,7.135714285714284,1,1,0.2645685279187817,0.007868628121792787,0.0020817913589230457,1143465.9075147954,-0.05519038478789884,HOLD
2020-07-16,288.7,295.32,286.36,7.621428571428571,1,1,0.2645685279187817,-0.020027155465037416,-0.005298555039785533,1137407.19046771,-0.06019651053621877,HOLD
2020-07-17,300.7,295.61,287.1625,7.70714285714286,1,1,0.2645685279187817,0.041565639071700744,0.010996959941203262,1149915.21177812,-0.04986152920998255,HOLD
2020-07-20,293.3,295.07,287.54,7.785714285714286,1,1,0.2645685279187817,-0.024609245094778798,-0.006510831747918127,1142428.3073098608,-0.05604772093052057,HOLD
2020-07-21,299.4,295.42,288.3825,8.099999999999998,1,1,0.2645685279187817,0.020797817933855933,0.005502448074683103,1148714.4597498814,-0.05085367252996209,HOLD
2020-07-22,301.3,295.68,289.12250000000006,7.907142857142857,1,1,0.2645685279187817,0.006346025384101672,0.0016789585940070006,1150643.1037641384,-0.049260095146486216,HOLD
2020-07-23,301.1,295.9,289.78,7.821428571428571,1,1,0.2645685279187817,-0.0006637902422833575,-0.00017561800724775933,1150441.030115202,-0.0494270621939874,HOLD
2020-07-24,295.8,296.27,290.355,8.007142857142858,1,1,0.2645685279187817,-0.017602125539687874,-0.004656968442276812,1145083.4625432552,-0.05385385036743229,HOLD
2020-07-27,294.8,296.2,290.8975,8.078571428571426,1,1,0.2645685279187817,-0.0033806626098715764,-0.0008944169300837896,1144059.2805079976,-0.05470009950199728,HOLD
2020-07-28,291.9,296.15999999999997,291.315,8.149999999999993,1,1,0.2645685279187817,-0.009837177747625603,-0.0026026076355647027,1141081.7430890088,-0.05716034424093186,HOLD
2020-07-29,291.1,295.81,291.64,8.221428571428564,1,1,0.2645685279187817,-0.0027406646111680644,-0.0007250936016958351,1140254.352018083,-0.05784399124274797,HOLD
2020-07-30,290.9,296.03000000000003,291.9475,7.899999999999993,1,1,0.2645685279187817,-0.0006870491240125176,-0.0001817715753478803,1140047.0861882193,-0.05801524842468331,HOLD
2020-07-31,286.1,294.57000000000005,291.835,8.328571428571426,1,1,0.2645685279187817,-0.016500515641113656,-0.004365517133070273,1135070.1911009578,-0.062127498996776276,HOLD
2020-08-03,279.7,293.21,291.8175,8.328571428571426,1,1,0.2645685279187817,-0.022369800768962,-0.005918345259280707,1128352.4538165047,-0.06767815226689833,HOLD
2020-08-04,281.3,291.4,291.7275,8.214285714285714,-1,-1,0.34245217391304356,0.005720414730068013,0.0012099313533030967,1129717.1645246446,-0.06655053508954334,REVERSE
2020-08-05,280.0,289.27,291.335,7.864285714285712,-1,-1,0.34245217391304356,-0.004621400639886253,0.001582608695652178,1131505.0647328487,-0.06507324984942431,HOLD
2020-08-06,282.9,287.45,291.1775,7.364285714285708,-1,-1,0.34245217391304356,0.010357142857142732,-0.0035468260869564797,1127491.8130517309,-0.06838927243625181,HOLD
2020-08-07,281.8,286.05,291.065,7.035714285714282,-1,-1,0.34245217391304356,-0.003888299752562663,0.0013315567030906333,1128993.1323330798,-0.06714877992729307,HOLD
2020-08-10,284.3,285.0,291.135,6.885714285714284,-1,-1,0.34245217391304356,0.008871540099361308,-0.0030380781929830185,1125563.162917711,-0.06998285487629363,HOLD
2020-08-11,285.3,284.34000000000003,291.6175,6.721428571428569,-1,-1,0.34245217391304356,0.003517411185367525,-0.0012045451069751644,1124207.371317227,-0.07110310247785545,HOLD
2020-08-12,284.2,283.65,292.2075,7.049999999999995,-1,-1,0.34245217391304356,-0.0038555906063793,0.001320355384873301,1125691.72457366,-0.06987662845721998,HOLD
2020-08-13,282.7,282.83,292.3875,6.749999999999996,-1,-1,0.34245217391304356,-0.005277973258268842,0.0018074534161490747,1127726.3599267714,-0.06819547379188484,HOLD
2020-08-14,282.3,282.45,292.08000000000004,6.607142857142853,-1,-1,0.34245217391304356,-0.0014149274849662996,0.00048454499315602454,1128272.794088124,-0.06774397257411047,HOLD
2020-08-17,279.2,282.4,291.6775,6.235714285714282,-1,-1,0.34245217391304356,-0.010981225646475412,0.003760544594865172,1132515.7142454656,-0.06423818220914357,HOLD
2020-08-18,284.1,282.68,291.2975,6.84285714285714,-1,-1,0.34245217391304356,0.01755014326647575,-0.006010084714089983,1125709.1988628122,-0.06986219000627747,HOLD
2020-08-19,288.8,283.56,291.085,7.064285714285712,-1,-1,0.34245217391304356,0.016543470608940458,-0.005665347474098202,1119331.6650964657,-0.0751317438986886,HOLD
2020-08-20,288.8,284.15,290.84,6.414285714285711,-1,-1,0.34245217391304356,0.0,-0.0,1119331.6650964657,-0.0751317438986886,HOLD
2020-08-21,286.3,284.6,290.5225,6.1285714285714255,-1,-1,0.34245217391304356,-0.00865650969529086,0.002964440563651693,1122649.8572886575,-0.0723900269242681,HOLD
2020-08-24,288.7,285.04,290.59749999999997,6.407142857142852,-1,-1,0.34245217391304356,0.008382815228780816,-0.002870713298607358,1119427.0514136592,-0.07505292920989737,HOLD
2020-08-25,293.3,285.84,290.62,6.385714285714284,-1,-1,0.34245217391304356,0.01593349497748542,-0.005456459993072442,1113318.9424924576,-0.08009986589737317,HOLD
2020-08-26,294.4,286.86,290.6475,5.950000000000001,-1,-1,0.34245217391304356,0.0037504261847935982,-0.0012843416000829697,1111889.0606604542,-0.08128133190752296,HOLD
2020-08-27,294.9,288.08000000000004,290.565,5.75,-1,-1,0.34245217391304356,0.0016983695652172948,-0.0005816103497164131,1111242.3744750377,-0.08181566819336317,HOLD
2020-08-28,293.6,289.21,290.46,5.549999999999999,-1,0,0.0,-0.004408273991183265,0.0013383969245285162,1112729.3706099098,-0.0805870104460904,STOP_EXIT
2020-08-31,298.0,291.09000000000003,290.4425,5.71428571428571,1,1,0.5215000000000004,0.014986376021798309,-0.0002607500000000002,1112439.2264265232,-0.08082674738311657,OPEN
2020-09-01,294.8,292.15999999999997,290.41499999999996,5.557142857142858,1,1,0.5215000000000004,-0.010738255033556965,-0.005599999999999962,1106209.5667585346,-0.08597411759777118,HOLD
2020-09-02,292.7,292.55,290.265,5.5428571428571445,1,1,0.5215000000000004,-0.0071234735413840955,-0.0037148914518318086,1102100.1182950488,-0.08936962453506025,HOLD
2020-09-03,285.8,292.25,289.9375,5.907142857142857,1,0,0.0,-0.023573624871882415,-0.012554395370686689,1088267.4505287977,-0.10079911921758489,STOP_EXIT
2020-09-04,284.4,292.06,289.745,6.014285714285713,1,1,0.472874109263658,-0.004898530440867854,-0.00023643705463182902,1088010.143778143,-0.10101172362535937,OPEN
2020-09-07,272.5,290.44,289.17,6.057142857142858,1,0,0.0,-0.0418424753867791,-0.02002266033254153,1066230.3761560016,-0.11900765488246867,STOP_EXIT
2020-09-08,269.1,288.02000000000004,288.59,5.971428571428569,-1,-1,0.4506459330143543,-0.012477064220183354,-0.00022532296650717716,1065990.1299646662,-0.1192061626911406,OPEN
2020-09-09,251.0,283.68,287.5,7.071428571428571,-1,-1,0.4506459330143543,-0.06726124117428478,0.03031100478468907,1098301.3618944564,-0.0925084164741472,HOLD
2020-09-10,248.2,279.01,286.4875,7.278571428571429,-1,-1,0.4506459330143543,-0.011155378486055856,0.005027125945976896,1103822.6611673378,-0.08794634198884876,HOLD
2020-09-11,243.3,273.98,285.05249999999995,7.221428571428571,-1,-1,0.4506459330143543,-0.01974214343271541,0.008896716646939242,1113643.058612214,-0.0798320590267192,HOLD
